Ht,Wt,Forty,Vertical,BenchReps,BroadJump,Cone,Shuttle,Draft_Position,Pos_CB,Pos_DB,Pos_DE,Pos_DT,Pos_EDGE,Pos_FB,Pos_FS,Pos_G,Pos_ILB,Pos_K,Pos_LB,Pos_LS,Pos_NT,Pos_OG,Pos_OL,Pos_OLB,Pos_OT,Pos_P,Pos_QB,Pos_RB,Pos_S,Pos_SS,Pos_TE,Pos_WR
71,192,4.41,34.0,21.0,115.0,6.89,4.39,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
77,286,5.16,33.0,22.0,115.0,7.19,4.35,3,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
76,291,5.49,33.0,27.0,103.0,8.14,4.84,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
75,276,5.0,35.5,25.0,121.0,7.65,4.45,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
75,277,5.22,28.0,21.0,108.0,7.41,4.49,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
70,208,4.67,33.0,16.0,117.0,7.19,4.35,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
71,192,4.68,38.0,13.0,111.0,7.1,4.35,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
78,244,4.83,33.0,18.0,115.0,7.19,4.35,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
73,197,4.44,39.0,21.0,125.0,6.34,3.94,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
75,217,4.74,33.0,21.0,115.0,7.2,4.24,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
70,211,4.54,33.0,21.0,115.0,7.19,4.35,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
79,268,5.06,30.0,13.0,108.0,7.33,4.67,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
68,189,4.81,32.0,13.0,109.0,7.04,4.47,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
76,309,5.66,26.0,21.0,92.0,8.51,5.0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
73,199,4.55,34.0,21.0,117.0,6.96,4.16,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
71,259,4.65,33.0,21.0,115.0,7.19,4.35,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
75,314,4.99,31.5,19.0,101.0,7.4,4.57,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
74,314,5.28,27.5,27.0,96.0,7.67,4.8,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
76,231,4.66,33.0,21.0,115.0,7.19,4.35,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
71,215,4.66,30.0,13.0,115.0,7.34,4.41,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
73,206,4.58,33.0,21.0,117.0,7.19,4.35,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
71,260,4.99,28.0,21.0,104.0,7.88,4.81,2,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
72,191,4.46,33.0,21.0,120.0,7.19,4.35,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
77,226,4.65,33.0,21.0,115.0,7.19,4.35,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
76,280,4.85,33.0,21.0,115.0,7.19,4.35,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
76,260,4.73,34.0,24.0,115.0,6.95,4.28,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
73,242,4.68,34.5,8.0,115.0,7.19,4.35,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
72,190,4.51,33.0,21.0,108.0,6.63,3.94,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
75,217,4.58,33.0,21.0,115.0,7.19,4.35,2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
71,207,4.92,31.0,21.0,106.0,7.3,4.45,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
73,196,4.43,33.0,21.0,115.0,7.19,4.35,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
76,243,4.76,34.0,22.0,115.0,7.51,4.56,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
76,249,4.72,37.0,14.0,116.0,6.92,4.16,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
76,271,4.75,33.0,24.0,114.0,7.21,4.15,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
70,198,4.55,37.0,21.0,121.0,6.88,4.06,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
71,201,4.43,34.5,19.0,117.0,6.84,4.36,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
76,280,4.78,37.0,32.0,117.0,7.07,4.27,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
